pubDate,title,link,originallink,press,collected_at,search_keyword,description
2026-01-13 10:00:00,[새전북이 만난 사람]국회·청와대 두루 거친 전략통… 짧은 임기 속 안...,http://sjbnews.com/news/news.php?number=869298,http://sjbnews.com/news/news.php?number=869298,,2026-01-13 19:02:31,우원식,"#1 한병도 더불어민주당 새 원내대표는 12일 <b>우원식</b> 국회의장에 이어 우상호 청와대 정무수석 접견, 송언석 국민의힘 원내대표를 예방 하는 등 본격적인 항해를 시작했다. 전북출신 의원이 원내 사령탑에 오른 것은 2009년... "
2026-01-13 10:00:00,"&quot;올림픽,?국민께 기쁨과 위로,?용기 전하는 무대…국회가 적극 지원&quot;",http://sjbnews.com/news/news.php?number=869299,http://sjbnews.com/news/news.php?number=869299,,2026-01-13 19:02:31,우원식,<b>우원식</b> 국회의장은?12일 오후 충북 진천군 소재 국가대표선수촌을 방문해 밀라노·코르티나 동계올림픽에 참가하는 국가대표 선수단을 격려했다. 우 의장은?&quot;오늘 선수촌에서 직접?2026년 밀라노·코르티나 동계올림픽을... 
2026-01-13 09:52:00,"장동혁-이준석, 우 의장 만나...&quot;2차 종합특검 본회의 상정 반대&quot;",https://www.ajunews.com/view/20260113171830070,https://www.ajunews.com/view/20260113171830070,,2026-01-13 19:02:31,우원식,"&quot;법원행정처도 우려...신천지 특검, 통일교 물타기&quot; 아주경제=이다희 기자 qhsfid70@ajunews.com <b>우원식</b> 국회의장이... [사진=연합뉴스] 장동혁 국민의힘 대표와 이준석 개혁신당 대표가 13일 <b>우원식</b> 국회의장을 만나 여당이... "
2026-01-13 09:46:00,"<b>우원식</b> 의장, 페루 친선협회장 만나 '인프라 사업 韓 기업 지속 참여' 요...",https://www.newspim.com/news/view/20260113001156,https://www.newspim.com/news/view/20260113001156,,2026-01-13 19:02:31,우원식,<b>우원식</b> 국회의장은 13일 빅토르 플로레스 페루-한 친선협회장과 만나 &quot;페루의 인프라 사업에 한국 기업들이... <b>우원식</b> 국회의장이 13일 오후 서울 여의도 국회 의장집무실에서 빅토르 플로레스 페루-한 친선협회장 등 페루... 
2026-01-13 09:42:00,[포토] <b>우원식</b>-장동혁-이준석 '한 자리에',https://www.newscj.com/news/articleView.html?idxno=3362997,https://www.newscj.com/news/articleView.html?idxno=3362997,,2026-01-13 19:02:31,우원식,"<b>우원식</b> 국회의장이 13일 오후 서울 여의도 국회 의장실에서 국민의힘 장동혁 대표, 개혁신당 이준석 대표와 기념촬영을 하고 있다."
2026-01-13 09:40:00,[포토] 기념촬영하는 <b>우원식</b> 국회의장과 장동혁-이준석,https://www.newscj.com/news/articleView.html?idxno=3362994,https://www.newscj.com/news/articleView.html?idxno=3362994,,2026-01-13 19:02:31,우원식,"<b>우원식</b> 국회의장이 13일 오후 서울 여의도 국회 의장실에서 국민의힘 장동혁 대표, 개혁신당 이준석 대표와 기념촬영을 하고 있다."
2026-01-13 09:40:00,[포토] 기념촬영하는 <b>우원식</b>-장동혁-이준석,https://www.newscj.com/news/articleView.html?idxno=3362993,https://www.newscj.com/news/articleView.html?idxno=3362993,,2026-01-13 19:02:31,우원식,"<b>우원식</b> 국회의장이 13일 오후 서울 여의도 국회 의장실에서 국민의힘 장동혁 대표, 개혁신당 이준석 대표와 기념촬영을 하고 있다."
2026-01-13 09:36:00,이준석 대표 발언,https://www.gukjenews.com/news/articleView.html?idxno=3479865,https://www.gukjenews.com/news/articleView.html?idxno=3479865,,2026-01-13 19:02:31,우원식,"<b>우원식</b> 국회의장이 13일 서울 여의도 국회 의장실을 찾은 장동혁 국민의힘 대표, 이준석 개혁신당 대표를 접견하고 있다./사진=이용우 기자"
2026-01-13 09:34:00,[포토] <b>우원식</b> 국회의장 찾은 장동혁-이준석,https://www.newscj.com/news/articleView.html?idxno=3362992,https://www.newscj.com/news/articleView.html?idxno=3362992,,2026-01-13 19:02:31,우원식,"<b>우원식</b> 국회의장이 13일 오후 서울 여의도 국회 의장실에서 국민의힘 장동혁 대표, 개혁신당 이준석 대표와 기념촬영을 마친 뒤 자리로 앉고 있다."
2026-01-13 09:34:00,발언하는 장동혁 대표,https://www.gukjenews.com/news/articleView.html?idxno=3479861,https://www.gukjenews.com/news/articleView.html?idxno=3479861,,2026-01-13 19:02:31,우원식,"<b>우원식</b> 국회의장이 13일 서울 여의도 국회 의장실을 찾은 장동혁 국민의힘 대표, 이준석 개혁신당 대표를 접견하고 있다./사진=이용우 기자"
